TCGA_AB_2885_ANKHD1-EIF4EBP3,TCGA_AB_2885,ANKHD1-EIF4EBP3,-0.6436,del,DO21397,1.33247075623591e-05
TCGA_AB_2904_ANKHD1-EIF4EBP3,TCGA_AB_2904,ANKHD1-EIF4EBP3,-0.8347,del,DO21649,1.37326347428064e-05
TCGA_AB_2908_ANKHD1-EIF4EBP3,TCGA_AB_2908,ANKHD1-EIF4EBP3,-0.8752,del,DO21193,1.00118382501508e-05
TCGA_AB_2920_ANKHD1-EIF4EBP3,TCGA_AB_2920,ANKHD1-EIF4EBP3,-0.8376,del,DO21613,1.2195046855008e-05
TCGA_AB_2935_ANKHD1-EIF4EBP3,TCGA_AB_2935,ANKHD1-EIF4EBP3,-0.5078,del,DO21176,1.67413063500242e-05
TCGA_AB_2938_ANKHD1-EIF4EBP3,TCGA_AB_2938,ANKHD1-EIF4EBP3,-0.5481,del,DO21085,2.24761822336036e-05
TCGA_AB_2939_ANKHD1-EIF4EBP3,TCGA_AB_2939,ANKHD1-EIF4EBP3,-0.9863,del,DO21547,1.53234301552786e-05
TCGA_AB_2943_ANKHD1-EIF4EBP3,TCGA_AB_2943,ANKHD1-EIF4EBP3,-0.7364,del,DO21966,1.3820819856372e-05
TCGA_AB_2952_ANKHD1-EIF4EBP3,TCGA_AB_2952,ANKHD1-EIF4EBP3,-0.8572,del,DO21905,1.49985368638708e-05
TCGA_AB_2820_APIP,TCGA_AB_2820,APIP,0.6202,dup,DO21355,2.61390712874099e-05
TCGA_AB_2838_APIP,TCGA_AB_2838,APIP,0.4905,dup,DO21319,3.73242748675656e-05
TCGA_AB_2872_APIP,TCGA_AB_2872,APIP,-0.8862,del,DO21661,7.25623982497378e-06
TCGA_AB_2891_APIP,TCGA_AB_2891,APIP,-0.3037,del,DO21839,3.84398201664386e-05
TCGA_AB_2904_APIP,TCGA_AB_2904,APIP,-0.8467,del,DO21649,1.9940153693914e-05
TCGA_AB_2916_APIP,TCGA_AB_2916,APIP,0.4872,dup,DO21031,5.01895070328494e-05
TCGA_AB_2943_APIP,TCGA_AB_2943,APIP,0.6417,dup,DO21966,4.05569530625222e-05
TCGA_AB_2820_BAD,TCGA_AB_2820,BAD,0.6049,dup,DO21355,3.50804363144382e-05
TCGA_AB_2830_BAD,TCGA_AB_2830,BAD,502,dup,DO21131,4.55523618013002e-05
TCGA_AB_2838_BAD,TCGA_AB_2838,BAD,0.5,dup,DO21319,2.91419260235185e-05
TCGA_AB_2891_BAD,TCGA_AB_2891,BAD,-0.2191,del,DO21839,2.06661405359413e-05
TCGA_AB_2904_BAD,TCGA_AB_2904,BAD,0.9365,dup,DO21649,4.35311727151002e-05
TCGA_AB_2916_BAD,TCGA_AB_2916,BAD,0.4897,dup,DO21031,1.14300771231252e-05
TCGA_AB_2943_BAD,TCGA_AB_2943,BAD,0.6418,dup,DO21966,2.45791109825364e-05
TCGA_AB_2805_BRAF,TCGA_AB_2805,BRAF,-0.2796,del,DO21821,1.66621236196326e-05
TCGA_AB_2817_BRAF,TCGA_AB_2817,BRAF,-0.8034,del,DO21906,1.02602612827206e-05
TCGA_AB_2838_BRAF,TCGA_AB_2838,BRAF,-0.6282,del,DO21319,1.10144054715667e-05
TCGA_AB_2857_BRAF,TCGA_AB_2857,BRAF,-0.4682,del,DO21721,1.42260284738003e-05
TCGA_AB_2874_BRAF,TCGA_AB_2874,BRAF,-0.9061,del,DO21755,1.27309888004531e-05
TCGA_AB_2882_BRAF,TCGA_AB_2882,BRAF,-0.5163,del,DO21857,1.21227172996775e-05
TCGA_AB_2885_BRAF,TCGA_AB_2885,BRAF,-0.5457,del,DO21397,1.57614546568842e-05
TCGA_AB_2887_BRAF,TCGA_AB_2887,BRAF,-0.9368,del,DO21899,1.28560518154256e-05
TCGA_AB_2915_BRAF,TCGA_AB_2915,BRAF,-0.8366,del,DO21733,9.10840254351017e-06
TCGA_AB_2917_BRAF,TCGA_AB_2917,BRAF,-0.2339,del,DO21047,2.25914726123897e-05
TCGA_AB_2920_BRAF,TCGA_AB_2920,BRAF,-0.7254,del,DO21613,8.14479896113831e-06
TCGA_AB_2928_BRAF,TCGA_AB_2928,BRAF,-1009,del,DO21161,1.51805212074533e-05
TCGA_AB_2929_BRAF,TCGA_AB_2929,BRAF,-0.5673,del,DO21972,1.47501106090359e-05
TCGA_AB_2935_BRAF,TCGA_AB_2935,BRAF,-0.2899,del,DO21176,1.20674167932057e-05
TCGA_AB_2939_BRAF,TCGA_AB_2939,BRAF,-0.9327,del,DO21547,1.28736552055996e-05
TCGA_AB_2944_BRAF,TCGA_AB_2944,BRAF,-0.7228,del,DO22008,1.51744554832951e-05
TCGA_AB_2952_BRAF,TCGA_AB_2952,BRAF,-0.7098,del,DO21905,5.38423221946644e-06
TCGA_AB_3007_BRAF,TCGA_AB_3007,BRAF,-0.7112,del,DO21924,8.81714155294871e-06
TCGA_AB_2860_CATSPER2,TCGA_AB_2860,CATSPER2,-0.2387,del,DO21057,2.91751606759639e-06
TCGA_AB_2870_CATSPER2,TCGA_AB_2870,CATSPER2,0.4761,dup,DO21289,6.03389225050128e-06
TCGA_AB_2895_CATSPER2,TCGA_AB_2895,CATSPER2,0.3917,dup,DO22050,1.78293566718416e-05
TCGA_AB_2897_CATSPER2,TCGA_AB_2897,CATSPER2,0.4125,dup,DO21912,9.40816228297053e-06
TCGA_AB_2909_CATSPER2,TCGA_AB_2909,CATSPER2,467,dup,DO21137,9.00018656972545e-06
TCGA_AB_2935_CATSPER2,TCGA_AB_2935,CATSPER2,659,dup,DO21176,6.01411693498174e-06
TCGA_AB_2939_CATSPER2,TCGA_AB_2939,CATSPER2,0.2325,dup,DO21547,6.01516544860219e-06
TCGA_AB_2943_CATSPER2,TCGA_AB_2943,CATSPER2,0.3921,dup,DO21966,6.14291826719164e-06
TCGA_AB_2813_CD14,TCGA_AB_2813,CD14,-712,del,DO21271,0.000207373220783274
TCGA_AB_2833_CD14,TCGA_AB_2833,CD14,-366,del,DO21679,0.000598535425259591
TCGA_AB_2838_CD14,TCGA_AB_2838,CD14,-0.7053,del,DO21319,0.00011016366547073
TCGA_AB_2843_CD14,TCGA_AB_2843,CD14,0.4139,dup,DO21023,3.07615711727179e-05
TCGA_AB_2849_CD14,TCGA_AB_2849,CD14,-0.8408,del,DO21403,2.5038657692298e-06
TCGA_AB_2857_CD14,TCGA_AB_2857,CD14,-0.5343,del,DO21721,3.35280040250977e-05
TCGA_AB_2860_CD14,TCGA_AB_2860,CD14,-0.4374,del,DO21057,5.51912368324787e-05
TCGA_AB_2868_CD14,TCGA_AB_2868,CD14,-0.4716,del,DO21595,2.81933844862131e-05
TCGA_AB_2885_CD14,TCGA_AB_2885,CD14,-0.6436,del,DO21397,2.40570380335123e-06
TCGA_AB_2891_CD14,TCGA_AB_2891,CD14,0.3637,dup,DO21839,8.45067553216521e-05
TCGA_AB_2904_CD14,TCGA_AB_2904,CD14,-0.8347,del,DO21649,1.00286115267443e-06
TCGA_AB_2908_CD14,TCGA_AB_2908,CD14,-0.8752,del,DO21193,9.57974614881199e-06
TCGA_AB_2920_CD14,TCGA_AB_2920,CD14,-0.8376,del,DO21613,4.86088170902805e-06
TCGA_AB_2935_CD14,TCGA_AB_2935,CD14,-0.5078,del,DO21176,0.000147817469573306
TCGA_AB_2938_CD14,TCGA_AB_2938,CD14,-0.5481,del,DO21085,3.92861274296939e-05
TCGA_AB_2939_CD14,TCGA_AB_2939,CD14,-0.9863,del,DO21547,2.74185556056091e-06
TCGA_AB_2943_CD14,TCGA_AB_2943,CD14,-0.7364,del,DO21966,8.10370706875395e-06
TCGA_AB_2952_CD14,TCGA_AB_2952,CD14,-0.8572,del,DO21905,0.00019794897961523
TCGA_AB_2820_CEBPA,TCGA_AB_2820,CEBPA,0.2581,dup,DO21355,5.83903500067977e-05
TCGA_AB_2843_CEBPA,TCGA_AB_2843,CEBPA,-0.56,del,DO21023,4.78740729250606e-05
TCGA_AB_2847_CEBPA,TCGA_AB_2847,CEBPA,-0.2182,del,DO22044,5.89209360119891e-05
TCGA_AB_2855_CEBPA,TCGA_AB_2855,CEBPA,498,dup,DO21643,0.000255292048776063
TCGA_AB_2891_CEBPA,TCGA_AB_2891,CEBPA,-1681,del,DO21839,4.27499044593183e-05
TCGA_AB_2917_CEBPA,TCGA_AB_2917,CEBPA,0.2022,dup,DO21047,3.33854960745247e-05
TCGA_AB_2956_CEBPA,TCGA_AB_2956,CEBPA,0.2103,dup,DO22098,0.00012849405881555
TCGA_AB_2820_CEBPB,TCGA_AB_2820,CEBPB,-0.2072,del,DO21355,0.000102108237463184
TCGA_AB_2833_CEBPB,TCGA_AB_2833,CEBPB,-1.0022,del,DO21679,7.67420351161277e-05
TCGA_AB_2843_CEBPB,TCGA_AB_2843,CEBPB,-1.6253,del,DO21023,1.34671557112712e-05
TCGA_AB_2847_CEBPB,TCGA_AB_2847,CEBPB,-1.3972,del,DO22044,1.67199963975163e-05
TCGA_AB_2868_CEBPB,TCGA_AB_2868,CEBPB,-0.5041,del,DO21595,1.19800082139322e-05
TCGA_AB_2915_CEBPB,TCGA_AB_2915,CEBPB,-0.9411,del,DO21733,5.25274334600607e-05
TCGA_AB_2938_CEBPB,TCGA_AB_2938,CEBPB,-0.5726,del,DO21085,1.228561900217e-05
TCGA_AB_2820_CEBPD,TCGA_AB_2820,CEBPD,0.2824,dup,DO21355,7.15978581488005e-05
TCGA_AB_2821_CEBPD,TCGA_AB_2821,CEBPD,0.3395,dup,DO21655,0.000156847112104093
TCGA_AB_2822_CEBPD,TCGA_AB_2822,CEBPD,0.5296,dup,DO21637,6.64229525063362e-06
TCGA_AB_2823_CEBPD,TCGA_AB_2823,CEBPD,0.4472,dup,DO21049,7.07407412313983e-05
TCGA_AB_2833_CEBPD,TCGA_AB_2833,CEBPD,-0.3016,del,DO21679,0.000312619523517823
TCGA_AB_2838_CEBPD,TCGA_AB_2838,CEBPD,0.4829,dup,DO21319,0.000154599210647975
TCGA_AB_2843_CEBPD,TCGA_AB_2843,CEBPD,-0.2533,del,DO21023,8.94942031533677e-05
TCGA_AB_2847_CEBPD,TCGA_AB_2847,CEBPD,-0.3292,del,DO22044,2.59855077286963e-05
TCGA_AB_2861_CEBPD,TCGA_AB_2861,CEBPD,0.4983,dup,DO21043,6.90506519976311e-05
TCGA_AB_2863_CEBPD,TCGA_AB_2863,CEBPD,0.7388,dup,DO21505,0.000237695852062703
TCGA_AB_2868_CEBPD,TCGA_AB_2868,CEBPD,0.2586,dup,DO21595,5.80251763516153e-05
TCGA_AB_2898_CEBPD,TCGA_AB_2898,CEBPD,0.4555,dup,DO21143,0.000135835572418369
TCGA_AB_2901_CEBPD,TCGA_AB_2901,CEBPD,0.4256,dup,DO21265,9.64674635289944e-05
TCGA_AB_2904_CEBPD,TCGA_AB_2904,CEBPD,0.4408,dup,DO21649,6.85930511239791e-05
TCGA_AB_2912_CEBPD,TCGA_AB_2912,CEBPD,0.4422,dup,DO21379,0.000125076493860169
TCGA_AB_2913_CEBPD,TCGA_AB_2913,CEBPD,0.5173,dup,DO21493,2.9335161940563e-06
TCGA_AB_2920_CEBPD,TCGA_AB_2920,CEBPD,0.5399,dup,DO21613,4.32385473140527e-05
TCGA_AB_2935_CEBPD,TCGA_AB_2935,CEBPD,0.2205,dup,DO21176,0.000193925899992916
TCGA_AB_2952_CEBPD,TCGA_AB_2952,CEBPD,0.2416,dup,DO21905,0.000517979268218461
TCGA_AB_3007_CEBPD,TCGA_AB_3007,CEBPD,0.4209,dup,DO21924,5.28012433545617e-05
TCGA_AB_2820_CEBPE,TCGA_AB_2820,CEBPE,0.2863,dup,DO21355,4.65513162849079e-07
TCGA_AB_2833_CEBPE,TCGA_AB_2833,CEBPE,0.3518,dup,DO21679,6.4751418880045e-06
TCGA_AB_2843_CEBPE,TCGA_AB_2843,CEBPE,0.3287,dup,DO21023,2.12776992632696e-06
TCGA_AB_2847_CEBPE,TCGA_AB_2847,CEBPE,0.4953,dup,DO22044,3.04443870257414e-06
TCGA_AB_2857_CEBPE,TCGA_AB_2857,CEBPE,-0.5738,del,DO21721,1.30813721032543e-05
TCGA_AB_2952_CEBPE,TCGA_AB_2952,CEBPE,0.2642,dup,DO21905,6.35011282532008e-06
TCGA_AB_2820_CEBPG,TCGA_AB_2820,CEBPG,0.2581,dup,DO21355,3.06322473314817e-05
TCGA_AB_2847_CEBPG,TCGA_AB_2847,CEBPG,-0.2182,del,DO22044,2.25532407831486e-05
TCGA_AB_2855_CEBPG,TCGA_AB_2855,CEBPG,498,dup,DO21643,6.86739067406187e-05
TCGA_AB_2891_CEBPG,TCGA_AB_2891,CEBPG,-0.8522,del,DO21839,2.4607252858307e-05
TCGA_AB_2917_CEBPG,TCGA_AB_2917,CEBPG,0.2022,dup,DO21047,4.58692447559511e-05
TCGA_AB_2956_CEBPG,TCGA_AB_2956,CEBPG,0.2103,dup,DO22098,4.97743753270787e-05
TCGA_AB_2910_CEBPZ,TCGA_AB_2910,CEBPZ,0.4421,dup,DO21673,5.02941825040003e-05
TCGA_AB_2820_CERK,TCGA_AB_2820,CERK,0.3671,dup,DO21355,9.05942409478562e-05
TCGA_AB_2860_CERK,TCGA_AB_2860,CERK,0.3822,dup,DO21057,6.86764652609999e-05
TCGA_AB_2868_CERK,TCGA_AB_2868,CERK,0.5213,dup,DO21595,9.48490284934347e-05
TCGA_AB_2904_CERK,TCGA_AB_2904,CERK,0.4301,dup,DO21649,6.51473229424509e-05
TCGA_AB_2908_CERK,TCGA_AB_2908,CERK,0.5093,dup,DO21193,8.60312650434561e-05
TCGA_AB_2943_CERK,TCGA_AB_2943,CERK,0.8242,dup,DO21966,0.000103118812980363
TCGA_AB_2949_CERK,TCGA_AB_2949,CERK,336,dup,DO21703,6.01357491764905e-05
TCGA_AB_2954_CERK,TCGA_AB_2954,CERK,0.2826,dup,DO22014,5.41370521528719e-05
TCGA_AB_2955_CERK,TCGA_AB_2955,CERK,-0.2779,del,DO21337,4.41623115084711e-05
TCGA_AB_2820_CSF1,TCGA_AB_2820,CSF1,296,dup,DO21355,2.31562251949409e-05
TCGA_AB_2943_CSF1,TCGA_AB_2943,CSF1,0.3846,dup,DO21966,8.68316070758757e-06
TCGA_AB_2813_CSF1R,TCGA_AB_2813,CSF1R,-712,del,DO21271,0.000126284367278551
TCGA_AB_2838_CSF1R,TCGA_AB_2838,CSF1R,-0.7053,del,DO21319,0.00012156410095809
TCGA_AB_2849_CSF1R,TCGA_AB_2849,CSF1R,-0.8576,del,DO21403,5.76025364979238e-06
TCGA_AB_2857_CSF1R,TCGA_AB_2857,CSF1R,-0.5453,del,DO21721,2.44904962098811e-05
TCGA_AB_2860_CSF1R,TCGA_AB_2860,CSF1R,-0.4294,del,DO21057,9.15251214228482e-05
TCGA_AB_2868_CSF1R,TCGA_AB_2868,CSF1R,-0.4716,del,DO21595,1.26828226754462e-05
TCGA_AB_2885_CSF1R,TCGA_AB_2885,CSF1R,-0.6436,del,DO21397,9.8729858842843e-05
TCGA_AB_2904_CSF1R,TCGA_AB_2904,CSF1R,-0.8347,del,DO21649,5.4981128338665e-05
TCGA_AB_2908_CSF1R,TCGA_AB_2908,CSF1R,-0.8752,del,DO21193,8.28231041535059e-06
TCGA_AB_2920_CSF1R,TCGA_AB_2920,CSF1R,-0.8532,del,DO21613,0.000208587412423449
TCGA_AB_2935_CSF1R,TCGA_AB_2935,CSF1R,-0.5078,del,DO21176,6.29856079164662e-05
TCGA_AB_2938_CSF1R,TCGA_AB_2938,CSF1R,-0.5481,del,DO21085,3.50125554387085e-05
TCGA_AB_2939_CSF1R,TCGA_AB_2939,CSF1R,-0.9863,del,DO21547,0.000118477847734837
TCGA_AB_2943_CSF1R,TCGA_AB_2943,CSF1R,-0.7364,del,DO21966,1.57205809938424e-05
TCGA_AB_2952_CSF1R,TCGA_AB_2952,CSF1R,-0.8572,del,DO21905,0.000117241995675027
TCGA_AB_2813_CSF2,TCGA_AB_2813,CSF2,-712,del,DO21271,0
TCGA_AB_2833_CSF2,TCGA_AB_2833,CSF2,-1.2855,del,DO21679,0
TCGA_AB_2838_CSF2,TCGA_AB_2838,CSF2,-0.7053,del,DO21319,0
TCGA_AB_2843_CSF2,TCGA_AB_2843,CSF2,-0.2623,del,DO21023,0
TCGA_AB_2847_CSF2,TCGA_AB_2847,CSF2,-0.7042,del,DO22044,1.15536830542912e-07
TCGA_AB_2857_CSF2,TCGA_AB_2857,CSF2,-0.5343,del,DO21721,0
TCGA_AB_2860_CSF2,TCGA_AB_2860,CSF2,-0.4374,del,DO21057,0
TCGA_AB_2868_CSF2,TCGA_AB_2868,CSF2,-0.4716,del,DO21595,0
TCGA_AB_2885_CSF2,TCGA_AB_2885,CSF2,-0.6436,del,DO21397,0
TCGA_AB_2891_CSF2,TCGA_AB_2891,CSF2,-1.5892,del,DO21839,0
TCGA_AB_2904_CSF2,TCGA_AB_2904,CSF2,-0.8347,del,DO21649,2.9229259984193e-07
TCGA_AB_2908_CSF2,TCGA_AB_2908,CSF2,-0.8752,del,DO21193,0
TCGA_AB_2920_CSF2,TCGA_AB_2920,CSF2,-0.8256,del,DO21613,0
TCGA_AB_2935_CSF2,TCGA_AB_2935,CSF2,-0.5078,del,DO21176,0
TCGA_AB_2938_CSF2,TCGA_AB_2938,CSF2,-0.5481,del,DO21085,0
TCGA_AB_2939_CSF2,TCGA_AB_2939,CSF2,-0.9863,del,DO21547,0
TCGA_AB_2943_CSF2,TCGA_AB_2943,CSF2,-0.7364,del,DO21966,0
TCGA_AB_2952_CSF2,TCGA_AB_2952,CSF2,-0.8572,del,DO21905,0
TCGA_AB_2820_CSF2RB,TCGA_AB_2820,CSF2RB,0.3718,dup,DO21355,9.54440604827015e-05
TCGA_AB_2833_CSF2RB,TCGA_AB_2833,CSF2RB,0.3361,dup,DO21679,1.68905772712417e-05
TCGA_AB_2843_CSF2RB,TCGA_AB_2843,CSF2RB,0.44,dup,DO21023,1.45786146683888e-05
TCGA_AB_2860_CSF2RB,TCGA_AB_2860,CSF2RB,0.3581,dup,DO21057,4.36751264461303e-05
TCGA_AB_2868_CSF2RB,TCGA_AB_2868,CSF2RB,0.5019,dup,DO21595,0.000322780973562937
TCGA_AB_2904_CSF2RB,TCGA_AB_2904,CSF2RB,0.4372,dup,DO21649,0.000163429412597413
TCGA_AB_2908_CSF2RB,TCGA_AB_2908,CSF2RB,0.5204,dup,DO21193,1.72738134581025e-05
TCGA_AB_2943_CSF2RB,TCGA_AB_2943,CSF2RB,839,dup,DO21966,0.000127763977976382
TCGA_AB_2949_CSF2RB,TCGA_AB_2949,CSF2RB,336,dup,DO21703,1.17658305163688e-05
TCGA_AB_2954_CSF2RB,TCGA_AB_2954,CSF2RB,0.2446,dup,DO22014,1.52490432464956e-05
TCGA_AB_2813_CSF3,TCGA_AB_2813,CSF3,-0.2642,del,DO21271,5.25096252575146e-08
TCGA_AB_2847_CSF3,TCGA_AB_2847,CSF3,0.5912,dup,DO22044,1.55856454111189e-07
TCGA_AB_2849_CSF3,TCGA_AB_2849,CSF3,0.4819,dup,DO21403,0
TCGA_AB_2855_CSF3,TCGA_AB_2855,CSF3,0.4681,dup,DO21643,7.22365273124297e-08
TCGA_AB_2860_CSF3,TCGA_AB_2860,CSF3,-0.3649,del,DO21057,5.36777139365884e-08
TCGA_AB_2908_CSF3,TCGA_AB_2908,CSF3,-0.5197,del,DO21193,0
TCGA_AB_2917_CSF3,TCGA_AB_2917,CSF3,0.3991,dup,DO21047,3.96851345251362e-07
TCGA_AB_2920_CSF3,TCGA_AB_2920,CSF3,-0.9023,del,DO21613,4.51747949167052e-08
TCGA_AB_2933_CSF3,TCGA_AB_2933,CSF3,0.4187,dup,DO21797,0
TCGA_AB_2935_CSF3,TCGA_AB_2935,CSF3,-357,del,DO21176,0
TCGA_AB_2943_CSF3,TCGA_AB_2943,CSF3,-0.5067,del,DO21966,4.20219510011789e-08
