"gene","statistic","estimate","p_value","method"
"CDK12","625514.307513454","0.179497337180902","0.020667015520453","Spearman's rank correlation rho"
"CDK3","677310.049560224","0.172806651693354","0.0242288746951265","Spearman's rank correlation rho"
"CNP","631098.56130291","0.22924437283247","0.00263770996660422","Spearman's rank correlation rho"
"CNTD1","663043.146513268","0.190230706318027","0.0129646860827238","Spearman's rank correlation rho"
"CNTROB","616050.07263141","0.23418766765525","0.00217978200350809","Spearman's rank correlation rho"
"COPS3","581428.086229622","0.289906526914684","0.000125710651671402","Spearman's rank correlation rho"
"CRLF3","597470.427143612","0.257284039650425","0.000733077216266835","Spearman's rank correlation rho"
"CTNS","591158.009492239","0.180953872052029","0.0207996511557982","Spearman's rank correlation rho"
"DDX42","694894.351677727","0.15133108410705","0.0488477007004775","Spearman's rank correlation rho"
"DERL2","634956.471759847","0.210685107951062","0.00596843554101219","Spearman's rank correlation rho"
"DHX33","658605.824544828","0.181286578806588","0.0183334498198951","Spearman's rank correlation rho"
"DLG4","572010.843042625","0.263077747633873","0.000592799563769569","Spearman's rank correlation rho"
"DLX3","686727.93089101","0.161304668521797","0.035604120203583","Spearman's rank correlation rho"
"DLX4","672764.27344801","0.178358371714865","0.0199630346163352","Spearman's rank correlation rho"
"DNAJC7","633779.817753219","0.212147807476979","0.00562210178447257","Spearman's rank correlation rho"
"DPH1","628855.050770508","0.189845286916904","0.0139983952717482","Spearman's rank correlation rho"
"DRG2","622253.942553312","0.226475632050479","0.00306738901184204","Spearman's rank correlation rho"
"DVL2","639805.37665107","0.218610808860388","0.00418285928072042","Spearman's rank correlation rho"
"EFCAB5","658947.950049417","0.195232137017462","0.0107311289335131","Spearman's rank correlation rho"
"EFTUD2","644494.048983827","0.184436643639399","0.0166979006204737","Spearman's rank correlation rho"
"EIF4A1","598965.643873782","0.268488047979943","0.000400046515552682","Spearman's rank correlation rho"
"EIF5A","642270.412777682","0.215600279947384","0.00474832391723825","Spearman's rank correlation rho"
"ELAC2","612038.519406753","0.225506907478256","0.00329236175139308","Spearman's rank correlation rho"
"EPX","577904.08618354","0.281606973567277","0.000208022214230897","Spearman's rank correlation rho"
"EVI2A","677916.279326812","0.172066268126341","0.0248530939585969","Spearman's rank correlation rho"
"EVI2B","670158.330733132","0.166925649230356","0.0300697209835839","Spearman's rank correlation rho"
"EVPLL","439276.359741756","0.170231056257024","0.0392655446850524","Spearman's rank correlation rho"
"EXOC7","632011.82109514","0.214345605520437","0.00513544516642413","Spearman's rank correlation rho"
"FAM20A","638625.890100881","0.162298548444123","0.0366950038667189","Spearman's rank correlation rho"
"FBXL20","605007.691450005","0.220567868415486","0.00417906955274108","Spearman's rank correlation rho"
"FLII","654498.290980322","0.200666470062687","0.00869520691218594","Spearman's rank correlation rho"
"FMNL1","663033.956099372","0.190241930497039","0.0129592486123984","Spearman's rank correlation rho"
"FTSJ3","657737.557531567","0.196710379722196","0.0101394387876454","Spearman's rank correlation rho"
"GABARAP","646473.47437612","0.210467114421481","0.00587216296708606","Spearman's rank correlation rho"
"GAS7","549027.140555788","0.195729607764286","0.0131222775134906","Spearman's rank correlation rho"
"GEMIN4","558384.97309136","0.293401818816264","0.000113467052185612","Spearman's rank correlation rho"
"GGA3","654056.893365784","0.201205545440266","0.00851322770884169","Spearman's rank correlation rho"
"GLOD4","629370.287486851","0.203574734529017","0.00812803531169169","Spearman's rank correlation rho"
"GOSR1","632397.902679384","0.199743493554669","0.00943558345340875","Spearman's rank correlation rho"
"GPS2","645804.464571372","0.21128417074716","0.00567872190058723","Spearman's rank correlation rho"
"HDAC5","663845.465766098","0.174773176661903","0.0230436634516883","Spearman's rank correlation rho"
"HS3ST3A1","639150.899056282","0.161609881149489","0.0375110446193576","Spearman's rank correlation rho"
"HS3ST3B1","572415.140916211","0.275647596291511","0.000298676724317549","Spearman's rank correlation rho"
"HSD17B1","607562.328883944","0.244738788618239","0.00134171991624076","Spearman's rank correlation rho"
"ICAM2","626403.104910051","0.193004131697812","0.0124554344688882","Spearman's rank correlation rho"
"INPP5K","636004.848395778","0.209381870126078","0.00629292998941857","Spearman's rank correlation rho"
"ITGAE","661763.130272735","0.162583796558107","0.035237028935813","Spearman's rank correlation rho"
"KDM6B","570253.361001776","0.291117596089484","0.000123060055019709","Spearman's rank correlation rho"
"KIAA0753","530119.080886134","0.291909437012617","0.000142185301285418","Spearman's rank correlation rho"
"KLHL11","659859.52508632","0.16499267936698","0.032577428696659","Spearman's rank correlation rho"
"KPNB1","643389.538126266","0.15604995294021","0.0446765340724454","Spearman's rank correlation rho"
"KRBA2","688393.407283919","0.159270635518934","0.0380258978280952","Spearman's rank correlation rho"
"KRT10","679910.201058525","0.169631107457178","0.0270044740675159","Spearman's rank correlation rho"
"KRT222","688010.364289136","0.159738442865962","0.0374569568699879","Spearman's rank correlation rho"
"KRTAP1-5","694381.630529296","0.151957266346326","0.0479100293988253","Spearman's rank correlation rho"
"LRRC37A2","600057.729657243","0.254067761850178","0.000858424695750237","Spearman's rank correlation rho"
"LRRC37B","574305.105218292","0.189476833725971","0.0157400103208428","Spearman's rank correlation rho"
"LRRC46","574329.988034369","0.286049937802236","0.00016315731566152","Spearman's rank correlation rho"
"LUC7L3","609953.750731662","0.255068360926397","0.000788363838522882","Spearman's rank correlation rho"
"MAFG","666758.885839696","0.185692703586695","0.0153338062691261","Spearman's rank correlation rho"
"MAP2K4","636333.857594174","0.1947628104811","0.0114114226142582","Spearman's rank correlation rho"
"MED1","671249.516438914","0.165569195416795","0.0314528870664471","Spearman's rank correlation rho"
"MFSD11","594868.681819017","0.219695966027616","0.00445472757147488","Spearman's rank correlation rho"
"MGC12916","631229.250962704","0.229084762595851","0.00265643665949334","Spearman's rank correlation rho"
"MIS12","631596.421636902","0.214861988915392","0.00502672520738839","Spearman's rank correlation rho"
"MKS1","679006.49989298","0.170734790465398","0.0260104305014896","Spearman's rank correlation rho"
"MNT","657322.158979622","0.168203543488313","0.0292988359849989","Spearman's rank correlation rho"
"MPDU1","620861.978149059","0.24174622999486","0.00149335345978639","Spearman's rank correlation rho"
"MRC2","603517.609892775","0.262928768274773","0.000532144082456117","Spearman's rank correlation rho"
"MRPL10","663334.860589576","0.175407910360529","0.0225428822819391","Spearman's rank correlation rho"
"MRPL27","608020.692890508","0.257429189012636","0.000701471989693408","Spearman's rank correlation rho"
"MYCBPAP","643772.81957969","0.170626707540568","0.0274811882230511","Spearman's rank correlation rho"
"MYH3","644672.973673404","0.184210226621899","0.0168344504317687","Spearman's rank correlation rho"
"MYO18A","622049.765182401","0.212838357289139","0.00560711158883138","Spearman's rank correlation rho"
"NAT9","633732.910698485","0.198054131763753","0.010068935230705","Spearman's rank correlation rho"
"NCOR1","620470.792870261","0.200646736384897","0.0093238090038845","Spearman's rank correlation rho"
"NDEL1","602240.75866045","0.224132511233407","0.00359336656325274","Spearman's rank correlation rho"
"NEURL4","628830.215803377","0.2320146850552","0.0023311656414889","Spearman's rank correlation rho"
"NEUROD2","638036.917946248","0.220770613337428","0.00381528973777085","Spearman's rank correlation rho"
"NF1","620976.000028343","0.199995877399663","0.00956033623165699","Spearman's rank correlation rho"
"NLE1","659698.862520052","0.194315053620761","0.0111133128366562","Spearman's rank correlation rho"
"NOG","620888.649106351","0.241713656967959","0.00149562564951586","Spearman's rank correlation rho"
"NOL11","682387.027570158","0.151724146524094","0.0489312021609905","Spearman's rank correlation rho"
"NPB","676662.15536673","0.173597919691831","0.0235766911212954","Spearman's rank correlation rho"
"NPEPPS","604590.150565067","0.221105786836309","0.00408551625361951","Spearman's rank correlation rho"
"NUFIP2","684692.19828808","0.16379089247369","0.0328222620836996","Spearman's rank correlation rho"
"NUP88","617827.381802168","0.218181496092134","0.0044950795106732","Spearman's rank correlation rho"
"OMG","618408.687428909","0.231255671735731","0.00248528790087646","Spearman's rank correlation rho"
"P2RX1","608500.198891379","0.243572921670505","0.00141708467270275","Spearman's rank correlation rho"
"P4HB","670455.912930693","0.181177553958887","0.0180573626531025","Spearman's rank correlation rho"
"PAFAH1B1","634982.788135427","0.210652394043773","0.00597639461462272","Spearman's rank correlation rho"
"PEMT","629705.854973637","0.158889409112765","0.0415076087914631","Spearman's rank correlation rho"
"PFN1","647419.488240531","0.209311755252433","0.00615574446498918","Spearman's rank correlation rho"
"PGAP3","508762.254794852","0.211167498566024","0.00793594129508058","Spearman's rank correlation rho"
"PHF12","563338.985085005","0.287132853795783","0.00016087087435341","Spearman's rank correlation rho"
"PHF23","606472.88814307","0.259319510575693","0.000638353109859424","Spearman's rank correlation rho"
"PIK3R5","689652.422660267","0.157733010105865","0.0399475034939057","Spearman's rank correlation rho"
"PLSCR3","647794.746734238","0.180259835273361","0.0193780547215495","Spearman's rank correlation rho"
